Team,1,2,3,4,5,6,7,8,9,R,H,E,R-9,W-L,Score_1,Score_2,Score_3,Score_4,Score_5,Score_6,Score_7,Score_8,Score_9,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,Game_ID,10,11,12,13,14,15,16,17,18,19
STL,0,0,0,0,0,0,0,0,1,1,5,0,1,L,0,0,0,0,0,0,0,0,1,0,-2,-2,-2,-2,-3,-3,-4,-3,360403123,,,,,,,,,,
PIT,0,2,0,0,0,1,0,1,-,4,9,1,4,W,0,2,2,2,2,3,3,4,4,0,2,2,2,2,3,3,4,3,360403123,,,,,,,,,,
TOR,2,0,0,1,0,0,0,2,0,5,7,2,5,W,2,2,2,3,3,3,3,5,5,2,2,1,2,2,2,2,4,2,360403130,,,,,,,,,,
TB,0,0,1,0,0,0,0,0,2,3,7,1,3,L,0,0,1,1,1,1,1,1,3,-2,-2,-1,-2,-2,-2,-2,-4,-2,360403130,,,,,,,,,,
NYM,0,0,0,0,0,0,0,3,0,3,7,1,3,L,0,0,0,0,0,0,0,3,3,-1,-1,-1,-2,-2,-4,-4,-1,-1,360403107,,,,,,,,,,
KC,1,0,0,1,0,2,0,0,-,4,9,0,4,W,1,1,1,2,2,4,4,4,4,1,1,1,2,2,4,4,1,1,360403107,,,,,,,,,,
SF,0,2,2,1,2,0,0,5,0,12,15,0,12,W,0,2,4,5,7,7,7,12,12,-1,0,1,2,4,4,4,9,9,360404108,,,,,,,,,,
MIL,1,1,1,0,0,0,0,0,0,3,8,1,3,L,1,2,3,3,3,3,3,3,3,1,0,-1,-2,-4,-4,-4,-9,-9,360404108,,,,,,,,,,
MIN,0,0,0,0,0,0,2,0,0,2,7,0,2,L,0,0,0,0,0,0,2,2,2,0,0,0,0,-2,-2,0,0,-1,360404101,,,,,,,,,,
BAL,0,0,0,0,2,0,0,0,1,3,10,0,3,W,0,0,0,0,2,2,2,2,3,0,0,0,0,2,2,0,0,1,360404101,,,,,,,,,,
SEA,1,1,0,0,0,0,0,0,0,2,4,2,2,L,1,2,2,2,2,2,2,2,2,1,2,2,2,-1,-1,-1,-1,-1,360404113,,,,,,,,,,
TEX,0,0,0,0,3,0,0,0,-,3,1,1,3,W,0,0,0,0,3,3,3,3,3,-1,-2,-2,-2,1,1,1,1,1,360404113,,,,,,,,,,
WSH,1,0,0,1,0,0,0,0,1,4,8,0,3,E,1,1,1,2,2,2,2,2,3,0,0,0,0,0,0,0,-1,0,360404115,1,,,,,,,,,
ATL,1,0,0,1,0,0,0,1,0,3,4,2,3,E,1,1,1,2,2,2,2,3,3,0,0,0,0,0,0,0,1,0,360404115,0,,,,,,,,,
PHI,0,2,0,0,0,0,0,0,0,2,6,2,2,L,0,2,2,2,2,2,2,2,2,-1,1,1,1,1,1,1,-4,-4,360404117,,,,,,,,,,
CIN,1,0,0,0,0,0,0,5,-,6,6,0,6,W,1,1,1,1,1,1,1,6,6,1,-1,-1,-1,-1,-1,-1,4,4,360404117,,,,,,,,,,
LAD,2,0,1,0,0,5,3,4,0,15,17,0,15,W,2,2,3,3,3,8,11,15,15,2,2,3,3,3,8,11,15,15,360404125,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,4,2,0,L,0,0,0,0,0,0,0,0,0,-2,-2,-3,-3,-3,-8,-11,-15,-15,360404125,,,,,,,,,,
TOR,0,0,1,3,1,0,0,0,0,5,7,1,5,W,0,0,1,4,5,5,5,5,5,0,-1,0,3,3,2,2,2,2,360404130,,,,,,,,,,
TB,0,1,0,0,1,1,0,0,0,3,8,0,3,L,0,1,1,1,2,3,3,3,3,0,1,0,-3,-3,-2,-2,-2,-2,360404130,,,,,,,,,,
COL,0,0,6,1,0,0,0,3,0,10,15,0,10,W,0,0,6,7,7,7,7,10,10,0,-1,5,4,2,2,2,5,5,360404129,,,,,,,,,,
ARI,0,1,0,2,2,0,0,0,0,5,12,0,5,L,0,1,1,3,5,5,5,5,5,0,1,-5,-4,-2,-2,-2,-5,-5,360404129,,,,,,,,,,
CHC,1,0,0,2,0,2,1,0,3,9,11,0,9,W,1,1,1,3,3,5,6,6,9,1,1,1,3,3,5,6,6,9,360404103,,,,,,,,,,
LAA,0,0,0,0,0,0,0,0,0,0,3,1,0,L,0,0,0,0,0,0,0,0,0,-1,-1,-1,-3,-3,-5,-6,-6,-9,360404103,,,,,,,,,,
CHW,0,0,4,0,0,0,0,0,0,4,7,1,4,W,0,0,4,4,4,4,4,4,4,0,0,1,1,1,1,1,1,1,360404111,,,,,,,,,,
OAK,0,0,3,0,0,0,0,0,0,3,7,2,3,L,0,0,3,3,3,3,3,3,3,0,0,-1,-1,-1,-1,-1,-1,-1,360404111,,,,,,,,,,
HOU,0,0,0,1,0,1,0,3,0,5,6,0,5,W,0,0,0,1,1,2,2,5,5,0,-2,-2,-1,-1,0,0,2,2,360405110,,,,,,,,,,
NYY,0,2,0,0,0,0,0,1,0,3,4,1,3,L,0,2,2,2,2,2,2,3,3,0,2,2,1,1,0,0,-2,-2,360405110,,,,,,,,,,
BOS,0,0,2,0,0,2,0,0,2,6,11,0,6,W,0,0,2,2,2,4,4,4,6,0,0,2,0,0,2,2,2,4,360405105,,,,,,,,,,
CLE,0,0,0,2,0,0,0,0,0,2,5,1,2,L,0,0,0,2,2,2,2,2,2,0,0,-2,0,0,-2,-2,-2,-4,360405105,,,,,,,,,,
NYM,0,0,0,2,0,0,0,0,0,2,6,0,2,W,0,0,0,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,360405107,,,,,,,,,,
KC,0,0,0,0,0,0,0,0,0,0,3,0,0,L,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,360405107,,,,,,,,,,
